method,model,layer,feature,accuracy
mlp,AlexNet,1,alex_conv1,0.8656230082359121
mlp,AlexNet,2,alex_conv2,0.925577832171752
mlp,AlexNet,3,alex_conv3,0.9618058799471009
mlp,AlexNet,4,alex_conv4,0.9591661113083412
mlp,AlexNet,5,alex_conv5,0.9503291665888127
mlp,AlexNet,6,alex_fc6,0.943743758706669
mlp,AlexNet,7,alex_fc7,0.9421783748658317
mlp,AlexNet,8,alex_fc8,0.932962540821432
mlp,CLIP,25,clip,0.9489111862661443
mlp,CLIP,0,clip_h0,0.8612714902910908
mlp,CLIP,1,clip_h1,0.8836778631057298
mlp,CLIP,10,clip_h10,0.9653705537597239
mlp,CLIP,11,clip_h11,0.9653539449126063
mlp,CLIP,12,clip_h12,0.8578075076141184
mlp,CLIP,13,clip_h13,0.7260640561711209
mlp,CLIP,14,clip_h14,0.7334082807559517
mlp,CLIP,15,clip_h15,0.7411168619244256
mlp,CLIP,16,clip_h16,0.7430497165077408
mlp,CLIP,17,clip_h17,0.760742290899805
mlp,CLIP,18,clip_h18,0.7675187005238016
mlp,CLIP,19,clip_h19,0.7762227744663889
mlp,CLIP,2,clip_h2,0.9015386020748603
mlp,CLIP,20,clip_h20,0.7775089220650611
mlp,CLIP,21,clip_h21,0.7934669099862769
mlp,CLIP,22,clip_h22,0.8177677294252717
mlp,CLIP,23,clip_h23,0.8300395913393167
mlp,CLIP,24,clip_h24,0.8037488244050399
mlp,CLIP,3,clip_h3,0.9294155139088714
mlp,CLIP,4,clip_h4,0.9200304772344609
mlp,CLIP,5,clip_h5,0.9260376896263217
mlp,CLIP,6,clip_h6,0.9409441299144021
mlp,CLIP,7,clip_h7,0.9488686260954053
mlp,CLIP,8,clip_h8,0.9581976079107939
mlp,CLIP,9,clip_h9,0.9657349103433671
mlp,DINOv2,24,dino,0.9721531917013896
mlp,DINOv2,0,dino_h0,0.8601825727519407
mlp,DINOv2,1,dino_h1,0.8819764943291167
mlp,DINOv2,10,dino_h10,0.9512789850333526
mlp,DINOv2,11,dino_h11,0.9586180193534591
mlp,DINOv2,12,dino_h12,0.961551556975612
mlp,DINOv2,13,dino_h13,0.9647549883634264
mlp,DINOv2,14,dino_h14,0.9666359402994991
mlp,DINOv2,15,dino_h15,0.9688521833367589
mlp,DINOv2,16,dino_h16,0.9684037444645827
mlp,DINOv2,17,dino_h17,0.9088371523301174
mlp,DINOv2,18,dino_h18,0.8670524071409739
mlp,DINOv2,19,dino_h19,0.834242667713024
mlp,DINOv2,2,dino_h2,0.8980694291331635
mlp,DINOv2,20,dino_h20,0.8959455728079955
mlp,DINOv2,21,dino_h21,0.9291207068725333
mlp,DINOv2,22,dino_h22,0.9555318879484129
mlp,DINOv2,23,dino_h23,0.9706625476725815
mlp,DINOv2,3,dino_h3,0.8912753726091046
mlp,DINOv2,4,dino_h4,0.9052174617114171
mlp,DINOv2,5,dino_h5,0.9094838593147605
mlp,DINOv2,6,dino_h6,0.9097516769745324
mlp,DINOv2,7,dino_h7,0.9183758208403662
mlp,DINOv2,8,dino_h8,0.9279736583684715
mlp,DINOv2,9,dino_h9,0.9372434711660034
mlp,Inception,8,inception_avgpool,0.9155388221420845
mlp,Inception,5,inception_mix5b,0.8656458454006988
mlp,Inception,5,inception_mix5c,0.8872041289593935
mlp,Inception,5,inception_mix5d,0.9014192259862022
mlp,Inception,6,inception_mix6a,0.9149263709046216
mlp,Inception,6,inception_mix6b,0.9395095407446161
mlp,Inception,6,inception_mix6c,0.9152024929879523
mlp,Inception,6,inception_mix6d,0.9220795937475995
mlp,Inception,6,inception_mix6e,0.9005223482418497
mlp,Inception,7,inception_mix7a,0.9523907397372896
mlp,Inception,7,inception_mix7b,0.9486122270180268
mlp,Inception,7,inception_mix7c,0.867424030095231
mlp,ResNet,5,resnet_avgpool,0.9549505782992955
mlp,ResNet,0,resnet_conv1,0.870216392516884
mlp,ResNet,1,resnet_l1_0,0.8759838146784839
mlp,ResNet,1,resnet_l1_1,0.7829503956019773
mlp,ResNet,2,resnet_l2_0,0.8955853684361317
mlp,ResNet,2,resnet_l2_1,0.7878998320430335
mlp,ResNet,3,resnet_l3_0,0.9375133649316649
mlp,ResNet,3,resnet_l3_1,0.9135602932291959
mlp,ResNet,4,resnet_l4_0,0.9229546723801101
mlp,ResNet,4,resnet_l4_1,0.92059933024824
